iteration,reward_mean,length_mean,games,loss
94500,-1.0,2.0,9,0.11746838981343899
95000,-1.0,2.0,9,0.0945473529282026
95500,-1.0,2.0,10,0.05181038247246761
96000,-1.0,2.0,10,0.07182393613038585
96500,-0.89,2.11,9,0.0130486632906468
97000,-1.0,2.0,8,0.013353547383758269
97500,-0.89,2.11,9,0.01588784004252375
98000,-1.0,2.0,8,0.013311070340023434
98500,-0.88,2.12,8,0.007665166739116103
99000,-1.0,2.0,9,0.004108444353732921
99500,-1.0,2.0,9,0.10015825080336072
100000,-1.0,2.0,8,0.1523899136518594
100500,-1.0,2.0,10,0.12661104733706452
101000,-1.0,2.0,11,0.16132693403051235
101500,-1.0,2.0,9,0.19168088817968965
102000,-1.0,2.0,11,0.22431789268739522
102500,-0.89,2.11,9,0.379027170361951
103000,-1.0,2.0,9,0.20533528219675645
103500,-1.0,2.0,8,0.43720567296259105
104000,-1.0,2.0,9,0.3123459008638747
104500,-0.88,2.12,8,0.2208399524097331
105000,-0.88,2.12,8,0.14104658958967775
105500,-1.0,2.0,9,0.06342469123774208
106000,-1.0,2.0,8,0.18572754628257826
106500,-0.89,2.11,9,0.5841720118187368
107000,-1.0,2.0,8,0.46784836472943425
107500,-1.0,2.0,8,0.3635381269850768
108000,-1.0,2.0,9,0.3335244316258468
108500,-1.0,2.0,8,0.5534809704404324
109000,-0.89,2.11,9,0.7656083672773093
109500,-1.0,2.0,8,0.9379367427900434
110000,-1.0,2.0,8,0.9776593805290759
110500,-0.91,2.09,11,0.9787304203491658
111000,-1.0,2.0,9,1.028095904737711
111500,-1.0,2.0,8,1.0803734578657895
112000,-1.0,2.0,9,1.0457088032271713
112500,-1.0,2.0,8,1.409773064777255
113000,-1.0,2.0,9,0.22211156738922
113500,-1.0,2.0,10,0.195824287540745
114000,-0.89,2.11,9,0.16577616066206247
114500,-1.0,2.0,10,0.18992371286731213
115000,-1.0,2.0,8,0.15184451744426042
115500,-1.0,2.0,9,0.18848028517095372
116000,-1.0,2.0,12,0.1543199096340686
116500,-1.0,2.0,8,0.1180220206733793
117000,-0.9,2.1,10,0.11307311314158142
117500,-0.88,2.12,8,0.11965151547337882
118000,-0.88,2.12,8,0.11686267497134395
118500,-1.0,2.0,11,0.14779615408042446
119000,-1.0,2.0,11,0.05893847435800126
119500,-1.0,2.0,10,0.08814133751729969
120000,-1.0,2.0,9,0.035403641501034144
120500,-0.9,2.1,10,0.05930136267124908
121000,-0.9,2.1,10,0.008111851821922755
121500,-1.0,2.0,9,0.011097914262791164
122000,-1.0,2.0,10,0.006427878344311466
122500,-1.0,2.0,9,0.01033937525608053
123000,-1.0,2.0,8,0.009446233033941098
123500,-1.0,2.0,8,0.01049179584833837
124000,-1.0,2.0,10,0.01098845868045828
124500,-1.0,2.0,10,0.011887394958648656
125000,-1.0,2.0,8,0.009186525876884843
125500,-1.0,2.0,9,0.008914222091334523
126000,-1.0,2.0,9,0.010408802202618972
126500,-1.0,2.0,8,0.009224335601629718
127000,-1.0,2.0,8,0.05119753455801401
127500,-1.0,2.0,8,0.07946206876658835
128000,-1.0,2.0,10,0.07416856978670694
128500,-1.0,2.0,9,0.059961263032164425
129000,-1.0,2.0,8,0.07730118912877515
129500,-1.0,2.0,9,0.06531469034962356
130000,-0.89,2.11,9,0.03674542383669177
130500,-0.88,2.12,8,0.060515875316923484
131000,-0.88,2.12,8,0.04901298580807634
131500,-1.0,2.0,8,0.028479287793743424
132000,-1.0,2.0,11,0.014748929150300683
132500,-1.0,2.0,8,0.0075717883237302885
133000,-0.88,2.12,8,0.011263722092735406
133500,-1.0,2.0,9,0.03556174912228016
134000,-1.0,2.0,8,0.005426388631804002
134500,-1.0,2.0,8,0.004352913183538476
135000,-1.0,2.0,10,0.005037845356582693
135500,-0.89,2.11,9,0.001653886455585507
136000,-1.0,2.0,8,0.0048748491772130365
136500,-0.88,2.12,8,0.002468525808552613
137000,-1.0,2.0,8,0.0015499343486453654
137500,-1.0,2.0,9,0.001625601808882493
138000,-1.0,2.0,9,0.0016106369629937944
138500,-1.0,2.0,8,0.0009685416144122883
139000,-1.0,2.0,10,0.0029180569895856934
139500,-0.88,2.12,8,0.005392408835064089
140000,-1.0,2.0,8,0.003771226472025546
140500,-1.0,2.0,8,0.0026192816233532312
141000,-1.0,2.0,8,0.0011619294908200573
141500,-1.0,2.0,10,0.00135774929825061
142000,-1.0,2.0,10,0.00294152126514291
142500,-1.0,2.0,10,0.003781729547370105
143000,-1.0,2.0,8,0.0027034530638161414
143500,-1.0,2.0,9,0.0016013338181437575
144000,-1.0,2.0,8,0.004267978811185458
144500,-1.0,2.0,9,0.002461472227878403
145000,-1.0,2.0,12,0.0019162164904287238
145500,-1.0,2.0,11,0.0021031469971717343
146000,-1.0,2.0,10,0.001943815687411643
146500,-1.0,2.0,8,0.0009049372163758562
147000,-1.0,2.0,10,0.024691425081982743
147500,-1.0,2.0,9,0.004005119931662193
148000,-0.89,2.11,9,0.001614604658072949
148500,-1.0,2.0,8,0.00139860633129274
149000,-0.88,2.12,8,0.0022293200463820995
149500,-1.0,2.0,8,0.0038037105595094545
150000,-1.0,2.0,10,0.0065645209392641846
150500,-1.0,2.0,10,0.0027320936839032584
151000,-1.0,2.0,10,0.002812962895632154
151500,-1.0,2.0,8,0.004185231385008592
152000,-1.0,2.0,9,0.002067990994248703
152500,-1.0,2.0,8,0.023611777742189588
153000,-1.0,2.0,10,0.007803474023603485
153500,-1.0,2.0,9,0.01106494889336318
154000,-1.0,2.0,8,0.024127479642629623
154500,-0.9,2.1,10,0.043009894659917336
155000,-1.0,2.0,9,0.11507752045872621
155500,-1.0,2.0,8,0.07307972521084594
156000,-1.0,2.0,8,0.15373509036726318
156500,-1.0,2.0,8,0.06808814858959522
157000,-1.0,2.0,10,0.25376561179291457
157500,-1.0,2.0,9,0.24701995629584417
158000,-1.0,2.0,8,0.1834781352954451
158500,-1.0,2.0,8,0.24818619788857177
159000,-0.88,2.12,8,0.23663958070392255
159500,-1.0,2.0,8,0.2639408119721338
160000,-1.0,2.0,8,0.05544575568274013
160500,-1.0,2.0,10,0.08836390598298749
161000,-1.0,2.0,8,0.36295068683102727
161500,-1.0,2.0,9,0.3724131193011999
162000,-1.0,2.0,8,0.26822425407590345
162500,-1.0,2.0,9,0.31068702321499586
163000,-1.0,2.0,9,0.05744757997308625
163500,-1.0,2.0,8,0.06578526970406529
164000,-1.0,2.0,9,0.08136096718953922
164500,-1.0,2.0,11,0.1015116207418032
165000,-1.0,2.0,10,0.12944004210294224
165500,-1.0,2.0,9,0.10778581598424353
166000,-0.88,2.12,8,0.04863461831700988
166500,-1.0,2.0,12,0.03697700415432337
167000,-1.0,2.0,9,0.08515011065173894
167500,-1.0,2.0,8,0.1074233690451365
168000,-1.0,2.0,9,0.11752605618676171
168500,-1.0,2.0,8,0.16030567837879062
169000,-1.0,2.0,9,0.12000129983061925
169500,-1.0,2.0,8,0.11222654615994543
170000,-1.0,2.0,9,0.027640358479402494
170500,-1.0,2.0,10,0.0359677928572637
171000,-1.0,2.0,9,0.10467248019995168
171500,-1.0,2.0,8,0.05596019345102832
172000,-1.0,2.0,10,0.17233336018398404
172500,-1.0,2.0,9,0.10481004466419108
173000,-1.0,2.0,9,0.1482514018425718
173500,-0.9,2.1,10,0.16358339131693356
174000,-1.0,2.0,8,0.14156837976770476
174500,-1.0,2.0,10,0.10185460891807452
175000,-1.0,2.0,8,0.12884057624614798
175500,-1.0,2.0,9,0.10503129856078885
176000,-1.0,2.0,8,0.17628501181025058
176500,-0.78,2.22,9,0.11133021261775866
177000,-1.0,2.0,11,0.14154196708113886
177500,-1.0,2.0,9,0.10555696160008665
178000,-1.0,2.0,8,0.1091541350033367
178500,-1.0,2.0,9,0.18765977345174178
179000,-0.89,2.11,9,0.13278807135066018
179500,-1.0,2.0,8,0.16807181743206456
180000,-1.0,2.0,8,0.21855151798808947
180500,-1.0,2.0,10,0.4136737125227228
181000,-0.88,2.12,8,0.47199510550126433
181500,-1.0,2.0,10,0.48921830335166305
182000,-1.0,2.0,10,0.45099807996302843
182500,-1.0,2.0,9,0.6348437310662121
183000,-1.0,2.0,8,0.047454582250793464
183500,-1.0,2.0,8,0.024019181117182598
184000,-1.0,2.0,10,0.015656658422813052
184500,-1.0,2.0,9,0.01672628907545004
185000,-1.0,2.0,8,0.006053375330338895
185500,-1.0,2.0,8,0.045024354782071896
186000,-0.91,2.09,11,0.015939071621687617
186500,-1.0,2.0,9,0.011929736927413614
187000,-1.0,2.0,10,0.01962985448699328
187500,-1.0,2.0,8,0.03986772096686764
188000,-1.0,2.0,8,0.023812864666979294
188500,-1.0,2.0,10,0.015291325700673042
189000,-0.91,2.09,11,0.0249665040828404
189500,-0.89,2.11,9,0.019418240623053862
190000,-1.0,2.0,9,0.026412237080876366
190500,-1.0,2.0,11,0.028632044137339108
191000,-1.0,2.0,9,0.02748007874470204
191500,-1.0,2.0,9,0.026016879572125617
192000,-1.0,2.0,9,0.025362975527968956
192500,-1.0,2.0,10,0.019739558270885027
193000,-1.0,2.0,9,0.03519437509748968
193500,-0.9,2.1,10,0.03931410230870824
194000,-1.0,2.0,8,0.020918081365380203
194500,-1.0,2.0,9,0.014786189241931424
195000,-1.0,2.0,8,0.005321682365092784
195500,-1.0,2.0,9,0.0038382097525300196
196000,-1.0,2.0,8,0.026828172709429055
196500,-1.0,2.0,10,0.04656479066761676
197000,-1.0,2.0,10,0.011218703932172502
197500,-1.0,2.0,8,0.010357368373661302
198000,-1.0,2.0,11,0.007827927212929353
198500,-1.0,2.0,8,0.025372155403601937
199000,-0.78,2.22,9,0.015781098540173844
199500,-1.0,2.0,8,0.013226774381109863
200000,-1.0,2.0,9,0.012475546061978093
